ID,Year,Round,RoundID,Motion,Motion_Chinese
31,2024,"ESL Quarter Finals
",15,This House believes that religious leaders should primarily focus on individual circumstances rather than community-based reasons when addressing acts of religious extremism.,本院认为，在应对宗教极端行为时，宗教领袖应当主要关注个体处境，而非以社群为基础的解释/论述。
32,2024,ESL Semi Finals,16,This House would ban defensive measures against hostile take overs.,本院将禁止针对恶意收购的防御性措施。
33,2024,"ESL Finals
",17,This House welcomes the end of work.,本院欢迎“工作的终结”。
34,2024,"ESL Semi Finals
",16,This House prefers a diverse number of highly competitive banks to a small number of banks.,本院更倾向于拥有大量高度竞争的银行，而非少数几家银行。
35,2024,ESL Finals,17,This House believes that post-revolutionary states should deemphasise the role of elite groups in favour of portraying revolution as primarily led by the lower classes.,本院认为，后革命国家应弱化精英群体的作用，转而强调革命主要由底层阶级所领导。
36,2023,Round 1,1,THBT (This House Believes That) it's in the interest of the team for the player to be excluded from the World Cup finals squad.,本院认为，为了球队的利益，应将该球员排除在世界杯决赛圈名单之外。
37,2023,Round 2,2,THP (This House Prefers) the quality of art being viewed as predominantly subjective as opposed to predominantly objective.,本院更倾向于将艺术的价值视为主要是主观的，而非主要是客观的。
38,2023,Round 3,3,THBT (This House Believes That) The Pacific Alliance should introduce a common currency. ,本院认为，太平洋联盟应当引入共同货币。
39,2023,Round 4,4,"THBT (This House Believes That) governments, when determining housing policy, should heavily prioritise supporting renters over home owners. ",本院认为，各国政府在制定住房政策时，应当大力优先支持租房者而非房屋所有者。
40,2023,Round 5,5,THS (This House Supports) the increasing prominence of data journalism at the expense of qualitative journalism.,本院支持数据新闻的日益突出，即便以牺牲定性新闻为代价。
41,2023,Round 6,6,"In developing countries with a history of ethnic, racial and/or religious tensions, THP (This House Prefers) a change of power from dominant political parties.",在有民族、种族和/或宗教紧张历史的发展中国家，本院更倾向于执政权从主导性政党手中转移。
42,2023,Round 7,7,"THBT (This House Believes That) it is in the interests of Taiwan to pursue friendlier ties with China (e.g. economic, political and cultural ties).",本院认为，台湾追求与中国建立更友好的关系（例如经济、政治与文化联系）符合其利益。
43,2023,Round 8,8,"TH (This House), as an average individual in the world today, would prefer to be immortal.",本院，作为当今世界的普通个体，将更愿意选择永生。
44,2023,Round 9,9,THBT (This House Believes That) the internationalisation of intellectual property law brings more harm than good.,本院认为，知识产权法的国际化弊大于利。
45,2023,Partial Double-Octo Finals,10,THW (This House Would) allow democratic governments to overturn supreme court/constitutional court decisions with a simple majority in the legislature.,本院将允许民主国家的立法机关以简单多数票推翻最高法院/宪法法院的裁决。
46,2023,Octo Finals,11,THP (This House Prefers) a focus on societal factors (e.g. socioeconomic factors) as opposed to individual factors (e.g. personal history) when addressing the causes and consequences of mental health issues.,本院更倾向于在探讨心理健康问题的成因与后果时，侧重社会因素（如社会经济因素），而非个人因素（如个人经历）。
47,2023,Quarter Finals,12,"THBT (This House Believes That) the IMF removing all conditions on these loans, except for explicit anti corruption provisions, is preferable to the recent conditions to developing countries.",本院认为，国际货币基金组织（IMF）在贷款中除明确的反腐条款外取消所有其他附加条件，优于近年对发展中国家的现行贷款条件。
48,2023,Semi Finals,13,THR (This House Regrets) the dominance of left/liberal views at universities.,本院对自由派/左翼观点在大学中的主导地位表示遗憾。
49,2023,Grand Final,14,THP (This House Prefers) a world where all individuals have a strong belief in Ubuntu.,本院更倾向于一个人人都坚信“乌班图（Ubuntu）”理念的世界（注：强调“我因我们而在”的群体互依）。
50,2023,ESL Semi Finals,16,THBT (This House Believes That) education systems in Africa should emphasise pan-African history and identities rather than national ones.,本院认为，非洲的教育体系应当强调泛非历史与身份认同，而非国家历史与身份。
51,2023,ESL Finals,17,"When they are not part of that religion, THBT (This House Believes That) feminists should refrain from critiquing widespread religious practices that have different rules based on gender (e.g. wearing of veils, separate prayer spaces, women on their period being forbidden from fasting, Iddah (waiting) period after divorce/death of a husband, etc.)",本院认为，当女权主义者并非该宗教的信徒时，应避免批评那些基于性别差异而制定的普遍宗教实践（例如：佩戴面纱、分开祈祷、月经期女性被禁止斋戒、离婚/丧夫后的“尔待”（Iddah）期等）。
52,2023,ESL Finals,17,THBT (This House Believes That) religious organisations should syncretise over remaining independent.,本院认为，宗教组织应当趋向融合，而非保持独立。
