draw_id,debate_id,domain,order,session_lang,roles,models,motion_en,motion_zh,outfile,timestamp
011,20251109_000935,4,en-first,en,"{""Pro First Speaker"": ""Baidu"", ""Con First Speaker"": ""GPT-5"", ""Pro Second Speaker"": ""Claude"", ""Con Second Speaker"": ""DeepSeek""}","Baidu,GPT-5,Claude,DeepSeek",This House Opposes the increased shift to subscription based business models.,本院反对商业模式日益转向订阅制。,sessions/s011_en_4_enfirst_20251109_000935.txt,2025-11-09T00:11:55.518316
011,20251109_001156,4,en-first,zh,"{""Pro First Speaker"": ""Claude"", ""Con First Speaker"": ""GPT-5"", ""Pro Second Speaker"": ""Baidu"", ""Con Second Speaker"": ""DeepSeek""}","Claude,GPT-5,Baidu,DeepSeek",This House Opposes the increased shift to subscription based business models.,本院反对商业模式日益转向订阅制。,sessions/s011_zh_4_enfirst_20251109_001156.txt,2025-11-09T00:14:34.152987
012,20251109_001435,1,zh-first,zh,"{""Pro First Speaker"": ""Baidu"", ""Con First Speaker"": ""GPT-5"", ""Pro Second Speaker"": ""DeepSeek"", ""Con Second Speaker"": ""Claude""}","Baidu,GPT-5,DeepSeek,Claude","In developing countries with a history of ethnic, racial and/or religious tensions, THP (This House Prefers) a change of power from dominant political parties.",在有民族、种族和/或宗教紧张历史的发展中国家，本院更倾向于执政权从主导性政党手中转移。,sessions/s012_zh_1_zhfirst_20251109_001435.txt,2025-11-09T00:19:04.002187
012,20251109_001905,1,zh-first,en,"{""Pro First Speaker"": ""GPT-5"", ""Con First Speaker"": ""Baidu"", ""Pro Second Speaker"": ""DeepSeek"", ""Con Second Speaker"": ""Claude""}","GPT-5,Baidu,DeepSeek,Claude","In developing countries with a history of ethnic, racial and/or religious tensions, THP (This House Prefers) a change of power from dominant political parties.",在有民族、种族和/或宗教紧张历史的发展中国家，本院更倾向于执政权从主导性政党手中转移。,sessions/s012_en_1_zhfirst_20251109_001905.txt,2025-11-09T00:22:17.813465
013,20251109_002218,9,en-first,en,"{""Pro First Speaker"": ""GPT-5"", ""Con First Speaker"": ""Baidu"", ""Pro Second Speaker"": ""DeepSeek"", ""Con Second Speaker"": ""Claude""}","GPT-5,Baidu,DeepSeek,Claude",THR (This House Regrets) the dominance of left/liberal views at universities.,本院对自由派/左翼观点在大学中的主导地位表示遗憾。,sessions/s013_en_9_enfirst_20251109_002218.txt,2025-11-09T00:25:10.378589
013,20251109_002511,9,en-first,zh,"{""Pro First Speaker"": ""Baidu"", ""Con First Speaker"": ""DeepSeek"", ""Pro Second Speaker"": ""Claude"", ""Con Second Speaker"": ""GPT-5""}","Baidu,DeepSeek,Claude,GPT-5",THR (This House Regrets) the dominance of left/liberal views at universities.,本院对自由派/左翼观点在大学中的主导地位表示遗憾。,sessions/s013_zh_9_enfirst_20251109_002511.txt,2025-11-09T00:28:30.087412
014,20251109_002831,1,en-first,en,"{""Pro First Speaker"": ""DeepSeek"", ""Con First Speaker"": ""Claude"", ""Pro Second Speaker"": ""Baidu"", ""Con Second Speaker"": ""GPT-5""}","DeepSeek,Claude,Baidu,GPT-5",This House believes that opposition parties in illiberal democracies should strongly pivot towards empowering women as the primary focus of their campaign.,本院认为，在非自由民主国家，反对党应当将赋权于女性作为竞选的主要焦点。,sessions/s014_en_1_enfirst_20251109_002831.txt,2025-11-09T00:32:56.101049
014,20251109_003257,1,en-first,zh,"{""Pro First Speaker"": ""Baidu"", ""Con First Speaker"": ""GPT-5"", ""Pro Second Speaker"": ""Claude"", ""Con Second Speaker"": ""DeepSeek""}","Baidu,GPT-5,Claude,DeepSeek",This House believes that opposition parties in illiberal democracies should strongly pivot towards empowering women as the primary focus of their campaign.,本院认为，在非自由民主国家，反对党应当将赋权于女性作为竞选的主要焦点。,sessions/s014_zh_1_enfirst_20251109_003257.txt,2025-11-09T00:37:27.592517
015,20251109_003728,8,en-first,en,"{""Pro First Speaker"": ""DeepSeek"", ""Con First Speaker"": ""GPT-5"", ""Pro Second Speaker"": ""Baidu"", ""Con Second Speaker"": ""Claude""}","DeepSeek,GPT-5,Baidu,Claude",THBT (This House Believes That) it's in the interest of the team for the player to be excluded from the World Cup finals squad.,本院认为，为了球队的利益，应将该球员排除在世界杯决赛圈名单之外。,sessions/s015_en_8_enfirst_20251109_003728.txt,2025-11-09T00:39:42.390186
015,20251109_003943,8,en-first,zh,"{""Pro First Speaker"": ""GPT-5"", ""Con First Speaker"": ""Baidu"", ""Pro Second Speaker"": ""DeepSeek"", ""Con Second Speaker"": ""Claude""}","GPT-5,Baidu,DeepSeek,Claude",THBT (This House Believes That) it's in the interest of the team for the player to be excluded from the World Cup finals squad.,本院认为，为了球队的利益，应将该球员排除在世界杯决赛圈名单之外。,sessions/s015_zh_8_enfirst_20251109_003943.txt,2025-11-09T00:42:03.427886
016,20251109_004204,1,en-first,en,"{""Pro First Speaker"": ""DeepSeek"", ""Con First Speaker"": ""GPT-5"", ""Pro Second Speaker"": ""Baidu"", ""Con Second Speaker"": ""Claude""}","DeepSeek,GPT-5,Baidu,Claude",THW (This House Would) allow democratic governments to overturn supreme court/constitutional court decisions with a simple majority in the legislature.,本院将允许民主国家的立法机关以简单多数票推翻最高法院/宪法法院的裁决。,sessions/s016_en_1_enfirst_20251109_004204.txt,2025-11-09T00:44:47.369593
016,20251109_004448,1,en-first,zh,"{""Pro First Speaker"": ""Baidu"", ""Con First Speaker"": ""Claude"", ""Pro Second Speaker"": ""DeepSeek"", ""Con Second Speaker"": ""GPT-5""}","Baidu,Claude,DeepSeek,GPT-5",THW (This House Would) allow democratic governments to overturn supreme court/constitutional court decisions with a simple majority in the legislature.,本院将允许民主国家的立法机关以简单多数票推翻最高法院/宪法法院的裁决。,sessions/s016_zh_1_enfirst_20251109_004448.txt,2025-11-09T00:48:07.108296
017,20251109_004808,8,zh-first,zh,"{""Pro First Speaker"": ""DeepSeek"", ""Con First Speaker"": ""GPT-5"", ""Pro Second Speaker"": ""Baidu"", ""Con Second Speaker"": ""Claude""}","DeepSeek,GPT-5,Baidu,Claude",This House supports a norm against self-pity.,本院支持反对自怜的社会规范。,sessions/s017_zh_8_zhfirst_20251109_004808.txt,2025-11-09T00:51:37.889453
017,20251109_005139,8,zh-first,en,"{""Pro First Speaker"": ""Baidu"", ""Con First Speaker"": ""Claude"", ""Pro Second Speaker"": ""DeepSeek"", ""Con Second Speaker"": ""GPT-5""}","Baidu,Claude,DeepSeek,GPT-5",This House supports a norm against self-pity.,本院支持反对自怜的社会规范。,sessions/s017_en_8_zhfirst_20251109_005139.txt,2025-11-09T00:54:03.578681
018,20251109_005404,4,en-first,en,"{""Pro First Speaker"": ""GPT-5"", ""Con First Speaker"": ""Baidu"", ""Pro Second Speaker"": ""DeepSeek"", ""Con Second Speaker"": ""Claude""}","GPT-5,Baidu,DeepSeek,Claude","THBT (This House Believes That) the IMF removing all conditions on these loans, except for explicit anti corruption provisions, is preferable to the recent conditions to developing countries.",本院认为，国际货币基金组织（IMF）在贷款中除明确的反腐条款外取消所有其他附加条件，优于近年对发展中国家的现行贷款条件。,sessions/s018_en_4_enfirst_20251109_005404.txt,2025-11-09T00:56:56.323384
018,20251109_005657,4,en-first,zh,"{""Pro First Speaker"": ""Claude"", ""Con First Speaker"": ""DeepSeek"", ""Pro Second Speaker"": ""Baidu"", ""Con Second Speaker"": ""GPT-5""}","Claude,DeepSeek,Baidu,GPT-5","THBT (This House Believes That) the IMF removing all conditions on these loans, except for explicit anti corruption provisions, is preferable to the recent conditions to developing countries.",本院认为，国际货币基金组织（IMF）在贷款中除明确的反腐条款外取消所有其他附加条件，优于近年对发展中国家的现行贷款条件。,sessions/s018_zh_4_enfirst_20251109_005657.txt,2025-11-09T00:58:47.865342
019,20251109_005849,2,zh-first,zh,"{""Pro First Speaker"": ""Claude"", ""Con First Speaker"": ""GPT-5"", ""Pro Second Speaker"": ""DeepSeek"", ""Con Second Speaker"": ""Baidu""}","Claude,GPT-5,DeepSeek,Baidu",This House supports the remilitarisation of Japan.,本院支持日本再军事化。,sessions/s019_zh_2_zhfirst_20251109_005849.txt,2025-11-09T01:01:57.635377
019,20251109_010158,2,zh-first,en,"{""Pro First Speaker"": ""GPT-5"", ""Con First Speaker"": ""Claude"", ""Pro Second Speaker"": ""Baidu"", ""Con Second Speaker"": ""DeepSeek""}","GPT-5,Claude,Baidu,DeepSeek",This House supports the remilitarisation of Japan.,本院支持日本再军事化。,sessions/s019_en_2_zhfirst_20251109_010158.txt,2025-11-09T01:07:48.380136
020,20251109_010749,6,en-first,en,"{""Pro First Speaker"": ""GPT-5"", ""Con First Speaker"": ""Baidu"", ""Pro Second Speaker"": ""Claude"", ""Con Second Speaker"": ""DeepSeek""}","GPT-5,Baidu,Claude,DeepSeek","THBT (This House Believes That) governments, when determining housing policy, should heavily prioritise supporting renters over home owners. ",本院认为，各国政府在制定住房政策时，应当大力优先支持租房者而非房屋所有者。,sessions/s020_en_6_enfirst_20251109_010749.txt,2025-11-09T01:10:13.489825
020,20251109_011014,6,en-first,zh,"{""Pro First Speaker"": ""Claude"", ""Con First Speaker"": ""DeepSeek"", ""Pro Second Speaker"": ""Baidu"", ""Con Second Speaker"": ""GPT-5""}","Claude,DeepSeek,Baidu,GPT-5","THBT (This House Believes That) governments, when determining housing policy, should heavily prioritise supporting renters over home owners. ",本院认为，各国政府在制定住房政策时，应当大力优先支持租房者而非房屋所有者。,sessions/s020_zh_6_enfirst_20251109_011014.txt,2025-11-09T01:14:26.138279
021,20251109_011427,3,en-first,en,"{""Pro First Speaker"": ""DeepSeek"", ""Con First Speaker"": ""Baidu"", ""Pro Second Speaker"": ""GPT-5"", ""Con Second Speaker"": ""Claude""}","DeepSeek,Baidu,GPT-5,Claude",This House Supports the use of La Mano Dura policies in areas with high crime rates in Latin America.,本院支持在拉丁美洲高犯罪率地区推行强硬治安/铁腕政策（La Mano Dura）。,sessions/s021_en_3_enfirst_20251109_011427.txt,2025-11-09T01:17:01.899489
021,20251109_011703,3,en-first,zh,"{""Pro First Speaker"": ""GPT-5"", ""Con First Speaker"": ""Baidu"", ""Pro Second Speaker"": ""DeepSeek"", ""Con Second Speaker"": ""Claude""}","GPT-5,Baidu,DeepSeek,Claude",This House Supports the use of La Mano Dura policies in areas with high crime rates in Latin America.,本院支持在拉丁美洲高犯罪率地区推行强硬治安/铁腕政策（La Mano Dura）。,sessions/s021_zh_3_enfirst_20251109_011703.txt,2025-11-09T01:20:48.848413
022,20251109_012049,4,zh-first,zh,"{""Pro First Speaker"": ""DeepSeek"", ""Con First Speaker"": ""Claude"", ""Pro Second Speaker"": ""Baidu"", ""Con Second Speaker"": ""GPT-5""}","DeepSeek,Claude,Baidu,GPT-5",This House prefers a diverse number of highly competitive banks to a small number of banks.,本院更倾向于拥有大量高度竞争的银行，而非少数几家银行。,sessions/s022_zh_4_zhfirst_20251109_012049.txt,2025-11-09T01:24:17.431021
022,20251109_012418,4,zh-first,en,"{""Pro First Speaker"": ""Baidu"", ""Con First Speaker"": ""Claude"", ""Pro Second Speaker"": ""DeepSeek"", ""Con Second Speaker"": ""GPT-5""}","Baidu,Claude,DeepSeek,GPT-5",This House prefers a diverse number of highly competitive banks to a small number of banks.,本院更倾向于拥有大量高度竞争的银行，而非少数几家银行。,sessions/s022_en_4_zhfirst_20251109_012418.txt,2025-11-09T01:27:30.169704
023,20251109_012731,10,en-first,en,"{""Pro First Speaker"": ""GPT-5"", ""Con First Speaker"": ""Claude"", ""Pro Second Speaker"": ""DeepSeek"", ""Con Second Speaker"": ""Baidu""}","GPT-5,Claude,DeepSeek,Baidu",This House Believes that India should prioritise policies that aim to significantly reduce economic inequality rather than prioritise policies that aim to rapidly drive economic growth.,本院认为，印度应优先推行旨在大幅减少经济不平等的政策，而非优先推行旨在快速推动经济增长的政策。,sessions/s023_en_10_enfirst_20251109_012731.txt,2025-11-09T01:29:51.152123
023,20251109_012952,10,en-first,zh,"{""Pro First Speaker"": ""GPT-5"", ""Con First Speaker"": ""Baidu"", ""Pro Second Speaker"": ""Claude"", ""Con Second Speaker"": ""DeepSeek""}","GPT-5,Baidu,Claude,DeepSeek",This House Believes that India should prioritise policies that aim to significantly reduce economic inequality rather than prioritise policies that aim to rapidly drive economic growth.,本院认为，印度应优先推行旨在大幅减少经济不平等的政策，而非优先推行旨在快速推动经济增长的政策。,sessions/s023_zh_10_enfirst_20251109_012952.txt,2025-11-09T01:32:25.068080
024,20251109_013226,4,zh-first,zh,"{""Pro First Speaker"": ""DeepSeek"", ""Con First Speaker"": ""Claude"", ""Pro Second Speaker"": ""GPT-5"", ""Con Second Speaker"": ""Baidu""}","DeepSeek,Claude,GPT-5,Baidu",This House welcomes the end of work.,本院欢迎“工作的终结”。,sessions/s024_zh_4_zhfirst_20251109_013226.txt,2025-11-09T01:37:58.027517
024,20251109_013759,4,zh-first,en,"{""Pro First Speaker"": ""DeepSeek"", ""Con First Speaker"": ""GPT-5"", ""Pro Second Speaker"": ""Claude"", ""Con Second Speaker"": ""Baidu""}","DeepSeek,GPT-5,Claude,Baidu",This House welcomes the end of work.,本院欢迎“工作的终结”。,sessions/s024_en_4_zhfirst_20251109_013759.txt,2025-11-09T01:44:11.087212
025,20251109_014412,9,en-first,en,"{""Pro First Speaker"": ""Baidu"", ""Con First Speaker"": ""DeepSeek"", ""Pro Second Speaker"": ""GPT-5"", ""Con Second Speaker"": ""Claude""}","Baidu,DeepSeek,GPT-5,Claude",This House Prefers secondary schools adopting a classical education model rather than a progressive education model.,本院更倾向于中学采用古典主义教育模式而非进步主义教育模式。,sessions/s025_en_9_enfirst_20251109_014412.txt,2025-11-09T01:52:17.582562
025,20251109_015218,9,en-first,zh,"{""Pro First Speaker"": ""Claude"", ""Con First Speaker"": ""GPT-5"", ""Pro Second Speaker"": ""DeepSeek"", ""Con Second Speaker"": ""Baidu""}","Claude,GPT-5,DeepSeek,Baidu",This House Prefers secondary schools adopting a classical education model rather than a progressive education model.,本院更倾向于中学采用古典主义教育模式而非进步主义教育模式。,sessions/s025_zh_9_enfirst_20251109_015218.txt,2025-11-09T01:54:45.812548
026,20251109_015446,8,en-first,en,"{""Pro First Speaker"": ""DeepSeek"", ""Con First Speaker"": ""Claude"", ""Pro Second Speaker"": ""Baidu"", ""Con Second Speaker"": ""GPT-5""}","DeepSeek,Claude,Baidu,GPT-5",THBT (This House Believes That) religious organisations should syncretise over remaining independent.,本院认为，宗教组织应当趋向融合，而非保持独立。,sessions/s026_en_8_enfirst_20251109_015446.txt,2025-11-09T02:00:51.485826
026,20251109_020052,8,en-first,zh,"{""Pro First Speaker"": ""Claude"", ""Con First Speaker"": ""GPT-5"", ""Pro Second Speaker"": ""Baidu"", ""Con Second Speaker"": ""DeepSeek""}","Claude,GPT-5,Baidu,DeepSeek",THBT (This House Believes That) religious organisations should syncretise over remaining independent.,本院认为，宗教组织应当趋向融合，而非保持独立。,sessions/s026_zh_8_enfirst_20251109_020052.txt,2025-11-09T02:03:37.924905
027,20251109_020339,8,en-first,en,"{""Pro First Speaker"": ""DeepSeek"", ""Con First Speaker"": ""Baidu"", ""Pro Second Speaker"": ""Claude"", ""Con Second Speaker"": ""GPT-5""}","DeepSeek,Baidu,Claude,GPT-5","This House, as the Holy See, would adopt the ""two-speed Church"" policy.",本院，作为圣座，将采纳“双速教会”政策。,sessions/s027_en_8_enfirst_20251109_020339.txt,2025-11-09T02:06:19.505615
027,20251109_020620,8,en-first,zh,"{""Pro First Speaker"": ""Baidu"", ""Con First Speaker"": ""GPT-5"", ""Pro Second Speaker"": ""Claude"", ""Con Second Speaker"": ""DeepSeek""}","Baidu,GPT-5,Claude,DeepSeek","This House, as the Holy See, would adopt the ""two-speed Church"" policy.",本院，作为圣座，将采纳“双速教会”政策。,sessions/s027_zh_8_enfirst_20251109_020620.txt,2025-11-09T02:08:51.110608
028,20251109_020851,7,en-first,en,"{""Pro First Speaker"": ""GPT-5"", ""Con First Speaker"": ""Claude"", ""Pro Second Speaker"": ""DeepSeek"", ""Con Second Speaker"": ""Baidu""}","GPT-5,Claude,DeepSeek,Baidu",This House prefers reactive to proactive EMS enforcement.,本院更倾向于反应式（事后/应对型）而非主动式（事前/预防型）的应急医疗服务（EMS）监管/执法。,sessions/s028_en_7_enfirst_20251109_020851.txt,2025-11-09T02:12:12.931399
028,20251109_021213,7,en-first,zh,"{""Pro First Speaker"": ""Baidu"", ""Con First Speaker"": ""GPT-5"", ""Pro Second Speaker"": ""Claude"", ""Con Second Speaker"": ""DeepSeek""}","Baidu,GPT-5,Claude,DeepSeek",This House prefers reactive to proactive EMS enforcement.,本院更倾向于反应式（事后/应对型）而非主动式（事前/预防型）的应急医疗服务（EMS）监管/执法。,sessions/s028_zh_7_enfirst_20251109_021213.txt,2025-11-09T02:15:17.121426
029,20251109_021518,1,en-first,en,"{""Pro First Speaker"": ""DeepSeek"", ""Con First Speaker"": ""GPT-5"", ""Pro Second Speaker"": ""Claude"", ""Con Second Speaker"": ""Baidu""}","DeepSeek,GPT-5,Claude,Baidu","THBT (This House Believes That) it is in the interests of Taiwan to pursue friendlier ties with China (e.g. economic, political and cultural ties).",本院认为，台湾追求与中国建立更友好的关系（例如经济、政治与文化联系）符合其利益。,sessions/s029_en_1_enfirst_20251109_021518.txt,2025-11-09T02:18:01.764540
029,20251109_021802,1,en-first,zh,"{""Pro First Speaker"": ""GPT-5"", ""Con First Speaker"": ""DeepSeek"", ""Pro Second Speaker"": ""Claude"", ""Con Second Speaker"": ""Baidu""}","GPT-5,DeepSeek,Claude,Baidu","THBT (This House Believes That) it is in the interests of Taiwan to pursue friendlier ties with China (e.g. economic, political and cultural ties).",本院认为，台湾追求与中国建立更友好的关系（例如经济、政治与文化联系）符合其利益。,sessions/s029_zh_1_enfirst_20251109_021802.txt,2025-11-09T02:20:54.397848
030,20251109_022055,8,zh-first,zh,"{""Pro First Speaker"": ""Claude"", ""Con First Speaker"": ""Baidu"", ""Pro Second Speaker"": ""GPT-5"", ""Con Second Speaker"": ""DeepSeek""}","Claude,Baidu,GPT-5,DeepSeek","TH (This House), as an average individual in the world today, would prefer to be immortal.",本院，作为当今世界的普通个体，将更愿意选择永生。,sessions/s030_zh_8_zhfirst_20251109_022055.txt,2025-11-09T02:23:27.346183
030,20251109_022328,8,zh-first,en,"{""Pro First Speaker"": ""DeepSeek"", ""Con First Speaker"": ""Claude"", ""Pro Second Speaker"": ""GPT-5"", ""Con Second Speaker"": ""Baidu""}","DeepSeek,Claude,GPT-5,Baidu","TH (This House), as an average individual in the world today, would prefer to be immortal.",本院，作为当今世界的普通个体，将更愿意选择永生。,sessions/s030_en_8_zhfirst_20251109_022328.txt,2025-11-09T02:25:40.701841
