ID,Year,Round,RoundID,Motion,Motion_Chinese,High_or_low,High_or_low_coder1,High_or_low_coder1_reason,High_or_low_coder2,High_or_low_coder2_reason,10_categories,10_categories_coder1,10_categories_coder1_reason,10_categories_coder2,10_categories_coder2_reason
14,2025,Grand Final,14,This House Supports the shift away from the traditional left-right spectrum in the politics of major democracies.,本院支持主要民主国家的政治脱离传统的左右翼光谱划分。,1,1,Reframes political identity/cleavages; symbolic stakes about representation and how democracy ought to organize disagreement.,0, Primarily a question about political framework effectiveness and representation mechanics that can be evaluated empirically.,1,1,"It concerns party‑system orientation and political system design, a general governance question rather than a sector policy.",1,"Concerns political system structures and how politics operates, fitting Domain 01's focus on ""Government structure and reform."""
15,2025,ESL Semi Finals,16,This House Opposes the increased shift to subscription based business models.,本院反对商业模式日益转向订阅制。,0,0,Mainly an economic/consumer‑welfare and competition policy question that turns on market data and cost–benefit analysis.,0,Economic question about business model efficiency and consumer welfare that can be analyzed through market theory and data.,4,4,"It addresses market structure/consumer pricing and industry regulation across sectors, aiming at economic organization and competition.",4,"Addresses business practices and market structures, fitting Domain 04's coverage of ""Industrial policy and competition regulation."""
16,2025,ESL Grand Finals,17,"This House, as the Holy See, would adopt the ""two-speed Church"" policy.",本院，作为圣座，将采纳“双速教会”政策。,1,1,Intra‑faith doctrine and authority vs. pastoral pragmatism; highly identity‑ and values‑based for believers.,1,"Involves fundamental theological disputes and church doctrine, highly identity-salient for Catholics with symbolic stakes for religious authority.",8,8,"It is a religious‑affairs/organizational decision within a church institution rather than a health, education, or welfare policy.",8,"Directly concerns religious institutional policy, which Domain 08 explicitly covers under ""religious affairs"" and ""state-religion relations."""
17,2025,ESL Grand Finals,17,This House Believes That Trumpism is in the long-term interest of the Republican Party.,本院认为，“特朗普主义”符合共和党的长期利益。,1,1,"Partisan identity and culture‑war symbolism; judgments about “Trumpism” are normative, not empirically resolvable.",0,Strategic question about party positioning and electoral success that can be evaluated through political science analysis and voting patterns.,1,1,"It is about partisan strategy and political alignment at the system level, not a sector‑specific public policy.",1,"Concerns political party strategy and political movements, fitting Domain 01's coverage of political systems and governance."
18,2024,Round 1,1,"This House believes that education systems should over-inflate children’s academic self-perception (e.g. providing overwhelmingly positive feedback, avoiding fail grades, etc.).",本院认为，教育体系应当刻意夸大儿童/学生的学业自我认知（例如：给予极度正面的反馈、避免不及格分数等）。,0,0,Shared aim (child outcomes) with empirical disagreement about pedagogy; effects are testable and implementation‑focused.,1,"Involves fundamental value conflicts about educational philosophy, balancing self-esteem vs. accuracy/merit, and child development principles.",9,9,It directly targets school assessment norms and pedagogy within formal education systems.,9,"Directly addresses educational pedagogy and grading policy, which falls under Domain 09's ""School systems (public/private, curriculum, testing).""+P20"
19,2024,Round 2,2,This House prefers the integrated model to the specialty model.,本院更倾向于综合（通科）模式而非专科模式。,0,0,"Assuming service‑delivery models (e.g., healthcare/education), this is a technical design/efficiency choice subject to empirical evaluation.",0,Technical healthcare delivery question about organizational efficiency and patient outcomes that can be evaluated through medical evidence.,7,7,"Interpreted in its common policy usage as integrated care vs. specialty/siloed care, this is a health‑system design choice (if the motion intended another sector, the code would follow that sector).",7,"Likely refers to healthcare delivery systems (integrated vs. specialized care), fitting Domain 07's ""Healthcare delivery systems."""
20,2024,Round 3,3,This House believes that opposition parties in illiberal democracies should strongly pivot towards empowering women as the primary focus of their campaign.,本院认为，在非自由民主国家，反对党应当将赋权于女性作为竞选的主要焦点。,1,1,Gender/identity‑centered strategy in illiberal contexts carries symbolic stakes and value conflicts over campaign priorities.,0,Strategic question about opposition tactics and campaign effectiveness that can be informed by comparative political analysis.,1,1,The primary function is electoral/party strategy within the political system; it is not proposing a specific welfare or health program.,1,"Concerns political strategy and campaign platforms, fitting Domain 01's focus on political systems, not social protection programs."
21,2024,Round 4,4,This House supports the remilitarisation of Japan.,本院支持日本再军事化。,1,1,Balances constitutional pacifism and historical memory against national/regional security; identity and symbolic stakes are high.,1,"Involves moral trade-offs between pacifism and security, highly identity-salient for Japanese national identity and regional historical tensions.",2,2,Concerns armed forces posture and military policy at the national level.,2,"Directly concerns military buildup and defense capabilities, which Domain 02 explicitly covers under ""Military spending, procurement, and structure."""
22,2024,Round 5,5,This House prefers reactive to proactive EMS enforcement.,本院更倾向于反应式（事后/应对型）而非主动式（事前/预防型）的应急医疗服务（EMS）监管/执法。,0,0,Primarily a procedural choice about enforcement strategy toward shared compliance outcomes; disagreement hinges on empirical effectiveness.,0,Technical question about emergency medical services operational strategy that can be evaluated through effectiveness data and response time analysis.,7,3,It is about enforcement strategy (inspections/sanctions vs. pre-emptive policing/regulatory action) within the public safety/justice apparatus.,7,"EMS (Emergency Medical Services) concerns healthcare delivery and emergency medical response, fitting Domain 07's coverage of ""Medical services"" and public health interventions."
23,2024,Round 6,6,This House supports Centrist Compacts.,本院支持“中间派协定”（Centrist Compacts）。,0,1,Trade‑off between pluralist compromise and ideological representation; partisan identity and power distribution are at stake.,0,Strategic question about coalition-building and political stability that can be assessed through comparative political outcomes.,1,1,Addresses party-system/governance arrangements and how government operates at a system-wide level rather than a sector policy.,1,"Concerns political coalition-building and party systems, fitting Domain 01's focus on ""Executive and legislative organs"" and political governance."
24,2024,Round 8,8,THBT central banks should “lean against the wind”.,本院认为，各国央行应当采取“逆风操作”（逆周期调节，lean against the wind）,0,0,A technical macroprudential/monetary policy judgment about managing asset bubbles; largely an evidence‑ and model‑driven dispute.,0,Technical monetary policy question about pre-emptive rate adjustments that economists debate primarily on empirical grounds about effectiveness.,4,4,A macroeconomic/monetary policy stance (counter-cyclical rate and macroprudential policy) squarely under economic affairs.,4,"Addresses monetary policy and macroeconomic management, fitting Domain 04's coverage of ""Macroeconomic policy."""
25,2024,Round 9,9,This House supports a norm against self-pity.,本院支持反对自怜的社会规范。,1,1,Normative conflict between stoic/virtue ethics and compassion/mental‑health framings; culturally loaded.,1,"Involves fundamental values about emotional expression, personal responsibility, and mental health philosophy with no expert consensus on normative premises.",8,8,Proposes a cultural/social norm change rather than a governmental sector program.,8,"Concerns cultural attitudes and social norms, fitting Domain 08's focus on cultural and symbolic values."
26,2024,Partial Double-Octo Finals,10,This House would remove restrictions on interstate farm commerce in India.,本院将取消印度对州际农产品贸易的限制。,0,1,"Major distributional stakes for farmers, states, and firms and a clash between market liberalization and federalism; identity‑salient in India.",0,Economic policy question about market efficiency and agricultural productivity that can be evaluated through cost-benefit analysis.,4,4,Reforms agricultural trade/market regulation across states to improve sectoral efficiency and commerce.,4,"Addresses agricultural trade barriers and market regulation, fitting Domain 04's coverage of ""Trade agreements and tariffs"" and ""Agricultural subsidies."""
27,2024,Octo Finals,11,This House opposes the stigma against laziness,本院反对对“懒惰”的污名化。,1,1,Challenges entrenched work‑ethic norms vs. acceptance of alternative life choices; symbolic culture‑war implications.,1,"Involves core moral values about work ethic, human worth, and productivity norms with competing philosophical premises about the good life.",8,8,"Targets cultural attitudes and social narratives, not welfare, education, or labor regulation.",8,"Concerns social norms and cultural attitudes, fitting Domain 08's coverage of cultural values and social affairs."
28,2024,Quarter Finals,12,This House supports implementing a Pact of Forgetting in post-conflict states.,本院支持在后冲突国家推行“遗忘协定”（Pact of Forgetting）。,1,1,Classic justice vs. peace/stability trade‑off in transitional justice; directly implicates identities of victim and perpetrator groups.,1,Classic transitional justice dilemma involving fundamental moral trade-offs between justice/accountability and reconciliation/peace.,3,3,Centers on transitional justice choices (amnesties/non-prosecution) within courts and the criminal-justice system.,3,"Addresses transitional justice and criminal accountability policies, fitting Domain 03's coverage of ""Criminal justice system"" and judicial reform."
29,2024,Semi Finals,13,This House would ban vulture funds from suing countries whose debt they have purchased.,本院将禁止秃鹫基金（vulture funds）起诉其所购债务所属的国家。,1,1,Pits contract/property rights against global justice and state capacity; clear winners/losers between creditors and debtor nations.,1,Involves distributional conflict and moral questions about financial exploitation vs. property rights in sovereign debt markets.,4,1,"Primarily restructures sovereign debt management/legal exposure of the state, a cross-cutting fiscal/administrative function.",4,"Concerns sovereign debt regulation and financial markets, fitting Domain 04's coverage of ""Macroeconomic policy"" and financial affairs."
30,2024,Grand Final,14,This House opposes the norm to prefer the natural to the artificial.,本院反对偏好“天然”甚于“人工”的社会规范。,1,1,Confronts “naturalness” preferences (sanctity/purity) vs. progress/beneficence in technology and food; culturally and morally contested.,1,"Fundamental philosophical question about nature, technology, and authenticity involving competing moral intuitions about what's valuable.",8,8,A cultural-values motion about social attitudes toward technology/artificiality rather than sectoral policy.,8,"Addresses cultural values and philosophical attitudes, fitting Domain 08's focus on cultural and symbolic norms."
31,2024,ESL Quarter Finals,15,This House believes that religious leaders should primarily focus on individual circumstances rather than community-based reasons when addressing acts of religious extremism.,本院认为，在应对宗教极端行为时，宗教领袖应当主要关注个体处境，而非以社群为基础的解释/论述。,1,1,"Religious identity and authority are central, with a moral trade‑off between individual pastoral care and community cohesion/security that cannot be settled empirically.",1,"Involves fundamental theological disputes about sin, collective responsibility, and religious interpretation with no consensus on normative premises.",8,8,"Religious leaders’ focus on individual vs. communal reasoning is a matter of religious affairs and discourse, not state security or welfare.",8,"Concerns religious institutional approaches and leadership, fitting Domain 08's coverage of ""Religious freedom and state-religion relations."""
32,2024,ESL Semi Finals,16,This House would ban defensive measures against hostile take overs.,本院将禁止针对恶意收购的防御性措施。,0,0,"A corporate‑governance instrument whose merits hinge on empirical effects (market efficiency, investment, shareholder welfare) and implementation details rather than fundamental values.",0,Technical corporate governance question about market efficiency and shareholder value that can be evaluated through economic analysis.,4,4,"A ban on defensive measures against hostile takeovers regulates corporate governance and market structure, which falls under economic affairs.",4,"Addresses corporate governance and market regulation, fitting Domain 04's coverage of ""Industrial policy and competition regulation."""
33,2024,ESL Finals,17,This House welcomes the end of work.,本院欢迎“工作的终结”。,1,1,"Competing values about the meaning of work, dignity, and autonomy versus social purpose create irreconcilable value conflict beyond factual resolution.",1,"Deeply philosophical question involving fundamental values about human purpose, meaning of life, and what makes existence worthwhile.",4,4,"“The end of work” debates labor market evolution, automation, and production—core economic-structure questions about labor and industry.",4,"Concerns labor market transformation and the future of employment, fitting Domain 04's coverage of ""Labor market regulation"" and macroeconomic policy."
34,2024,ESL Semi Finals,16,This House prefers a diverse number of highly competitive banks to a small number of banks.,本院更倾向于拥有大量高度竞争的银行，而非少数几家银行。,0,0,Primarily a technocratic question of banking market structure (competition vs. systemic risk) that can be argued with data and regulatory expertise.,0,"Technical question about banking system structure that can be evaluated through stability metrics, efficiency, and competition analysis.",4,4,Preferring competitive banking structures concerns financial markets and competition policy—firmly within economic affairs.,4,"Directly addresses banking sector structure and financial market competition, fitting Domain 04's ""Industrial policy and competition regulation."""
35,2024,ESL Finals,17,This House believes that post-revolutionary states should deemphasise the role of elite groups in favour of portraying revolution as primarily led by the lower classes.,本院认为，后革命国家应弱化精英群体的作用，转而强调革命主要由底层阶级所领导。,1,1,"National narrative and class identity stakes (elite vs. masses) make this symbolic and distributional, triggering value‑laden disagreements about legitimacy.",0,Strategic question about historiography and nation-building effectiveness that can be assessed through social cohesion and legitimacy outcomes.,8,1,Post-revolutionary state narratives about elite vs. lower-class leadership involve state legitimacy and political representation—questions of governance and national identity framing.,8,"Concerns historical narrative and national identity construction, fitting Domain 08's coverage of ""Heritage preservation"" and cultural affairs."
36,2023,Round 1,1,THBT (This House Believes That) it's in the interest of the team for the player to be excluded from the World Cup finals squad.,本院认为，为了球队的利益，应将该球员排除在世界杯决赛圈名单之外。,0,0,"Squad selection is an optimization problem about performance and team chemistry, an empirical, case‑specific judgment rather than a values clash.",0,Specific strategic sports decision about team optimization that can be evaluated through performance data and tactical analysis.,8,8,"Deciding whether to exclude a player from a World Cup squad is about sports management and national team culture, thus part of recreation and culture.",8,"Concerns sports team selection and athletic competition, which Domain 08 explicitly covers under ""Sports infrastructure and mega-events."""
37,2023,Round 2,2,THP (This House Prefers) the quality of art being viewed as predominantly subjective as opposed to predominantly objective.,本院更倾向于将艺术的价值视为主要是主观的，而非主要是客观的。,1,1,Whether art’s quality is objective or subjective is a philosophical dispute about epistemic values that evidence cannot conclusively resolve.,1,"Fundamental philosophy of aesthetics involving irreconcilable positions about the nature of beauty, truth, and artistic value.",8,8,How art quality is judged—subjective vs. objective—is a cultural philosophy and arts evaluation issue.,8,"Addresses aesthetic philosophy and cultural values, fitting Domain 08's coverage of arts and cultural production."
38,2023,Round 3,3,THBT (This House Believes That) The Pacific Alliance should introduce a common currency. ,本院认为，太平洋联盟应当引入共同货币。,1,1,"A common currency implicates monetary sovereignty and creates cross‑national winners and losers, invoking identity and distributional conflicts.",0,Technical economic question about monetary integration that can be evaluated through optimal currency area theory and economic data.,4,4,Creating a common currency for the Pacific Alliance is a macroeconomic and monetary policy question.,4,"Concerns monetary policy and regional economic integration, fitting Domain 04's coverage of ""Macroeconomic policy"" and ""Trade agreements."""
39,2023,Round 4,4,"THBT (This House Believes That) governments, when determining housing policy, should heavily prioritise supporting renters over home owners. ",本院认为，各国政府在制定住房政策时，应当大力优先支持租房者而非房屋所有者。,1,1,"Zero‑sum distribution between renters and homeowners raises fairness/property‑rights trade‑offs and partisan alignment, not merely technical design.",1,"Involves explicit distributional conflict and competing values about property rights, wealth accumulation, and intergenerational equity.",6,6,"Prioritizing renters in housing policy is a housing market and urban policy issue, not a welfare transfer.",6,"Explicitly addresses housing policy, which Domain 06 covers under ""Public/social housing and rent control."""
40,2023,Round 5,5,THS (This House Supports) the increasing prominence of data journalism at the expense of qualitative journalism.,本院支持数据新闻的日益突出，即便以牺牲定性新闻为代价。,0,0,"A methodological prioritization within journalism whose merits can be assessed by evidence on accuracy, transparency, and audience outcomes",1,"Involves fundamental values about journalistic purpose, truth-telling methods, and what constitutes understanding beyond mere technical effectiveness.",8,8,"The rise of data journalism affects media structure and content practices—part of cultural/media policy.
",8,"Concerns media practices and journalism standards, fitting Domain 08's coverage of ""Media policy"" and cultural production."
41,2023,Round 6,6,"In developing countries with a history of ethnic, racial and/or religious tensions, THP (This House Prefers) a change of power from dominant political parties.",在有民族、种族和/或宗教紧张历史的发展中国家，本院更倾向于执政权从主导性政党手中转移。,0,1,Identity‑salient power shifts in contexts of ethnic/religious tension create clear winners/losers and pit stability against democratic turnover; values dominate over facts.,0,Primarily an empirical question about political stability and democratic consolidation that can be evaluated through comparative political science.,1,1,A preference for power change in states with communal tensions concerns political competition and who governs—core state structure/legitimacy issues.,1,"Concerns political party systems and governance transitions, fitting Domain 01's coverage of ""Executive and legislative organs"" and government structure."
42,2023,Round 7,7,"THBT (This House Believes That) it is in the interests of Taiwan to pursue friendlier ties with China (e.g. economic, political and cultural ties).",本院认为，台湾追求与中国建立更友好的关系（例如经济、政治与文化联系）符合其利益。,1,1,National identity and security vs. economic integration for Taiwan/China is a core value trade‑off with high symbolic stakes and no decisive expert consensus.,1,"Involves fundamental values about national sovereignty, identity, and security vs. prosperity trade-offs; highly identity-salient for Taiwanese.",1,1,“Friendlier ties” centers on diplomacy and non-military international cooperation (economic/cultural links follow from foreign policy leadership).,1,"Addresses foreign policy and international relations, which Domain 01 explicitly covers under ""foreign economic aid and international cooperation (non-military)."""
43,2023,Round 8,8,"TH (This House), as an average individual in the world today, would prefer to be immortal.",本院，作为当今世界的普通个体，将更愿意选择永生。,1,1,"Immortality raises fundamental philosophical/moral questions about meaning, risk, and equality that data cannot settle.",1,"Deeply philosophical question about meaning of life, mortality, and human existence involving irreconcilable premises about what makes life valuable.",8,7,Immortality is a biomedical/longevity question; the closest governmental function is health/medical science and public health ethics.,8,"Concerns philosophical values and existential attitudes rather than government policy, fitting Domain 08's coverage of cultural and philosophical affairs."
44,2023,Round 9,9,THBT (This House Believes That) the internationalisation of intellectual property law brings more harm than good.,本院认为，知识产权法的国际化弊大于利。,0,1,"Internationalising IP law trades innovation incentives against access/justice and entails distributional conflicts between firms and publics, rich and poor countries.",0,"Can be evaluated through economic analysis of innovation incentives, access to knowledge, and development outcomes.",4,4,Internationalizing IP law is regulation of markets/innovation and trade regimes—an economic and industrial-policy domain.,4,"Addresses trade policy and economic regulation frameworks, fitting Domain 04's coverage of ""Trade agreements"" and international economic policy."
45,2023,Partial Double-Octo Finals,10,THW (This House Would) allow democratic governments to overturn supreme court/constitutional court decisions with a simple majority in the legislature.,本院将允许民主国家的立法机关以简单多数票推翻最高法院/宪法法院的裁决。,1,1,Majority override of courts pits majoritarian will against rights protection/judicial independence and sets sweeping constitutional precedents.,1,"Fundamental constitutional question involving moral trade-offs between democratic will and rights protection, with no technical resolution.",1,1,Letting legislatures overturn high-court rulings is constitutional design and separation-of-powers—government operations.,1,"Directly concerns government structure and separation of powers, fitting Domain 01's ""Government structure and reform."""
46,2023,Octo Finals,11,THP (This House Prefers) a focus on societal factors (e.g. socioeconomic factors) as opposed to individual factors (e.g. personal history) when addressing the causes and consequences of mental health issues.,本院更倾向于在探讨心理健康问题的成因与后果时，侧重社会因素（如社会经济因素），而非个人因素（如个人经历）。,1,1,Prioritising societal vs. individual factors in mental health encodes competing moral frames (structure vs. agency) with no shared prioritisation consensus.,1,Involves competing philosophical frameworks about agency and structure with no expert consensus on normative premises about responsibility.,7,7,Debating societal vs. individual causal frames for mental health sits within public health/mental-health policy.,7,"Addresses public health policy approaches to mental health, fitting Domain 07's coverage of ""Mental health services"" and health systems."
47,2023,Quarter Finals,12,"THBT (This House Believes That) the IMF removing all conditions on these loans, except for explicit anti corruption provisions, is preferable to the recent conditions to developing countries.",本院认为，国际货币基金组织（IMF）在贷款中除明确的反腐条款外取消所有其他附加条件，优于近年对发展中国家的现行贷款条件。,1,1,"IMF conditionality involves sovereignty and social costs vs. creditor discipline/market reforms, with distributional impacts and contested normative priorities.",0,Technical development economics question about policy effectiveness that can be assessed through empirical outcomes and comparative analysis.,4,1,IMF loan conditionality is macro-fiscal/sovereign finance and international assistance—general public services rather than a sector policy.,4,"Concerns international financial policy and macroeconomic management, fitting Domain 04's coverage of ""Macroeconomic policy."""
48,2023,Semi Finals,13,THR (This House Regrets) the dominance of left/liberal views at universities.,本院对自由派/左翼观点在大学中的主导地位表示遗憾。,1,1,"“Left/liberal dominance” at universities is a culture‑war issue tied to identity, academic freedom, and inclusion, with symbolic stakes beyond campuses.",1,"Involves fundamental values about intellectual diversity, academic freedom, and political balance; highly identity-salient and symbolic.",9,9,University ideological balance is about higher-education culture/governance within the education system.,9,"Addresses academic culture and university environments, fitting Domain 09's coverage of ""Higher education"" and education systems."
49,2023,Grand Final,14,THP (This House Prefers) a world where all individuals have a strong belief in Ubuntu.,本院更倾向于一个人人都坚信“乌班图（Ubuntu）”理念的世界（注：强调“我因我们而在”的群体互依）。,1,1,A universal belief in Ubuntu prescribes a communitarian moral order over individualism; it’s identity‑laden and not empirically resolvable.,1,Philosophical question about competing worldviews (communalism vs. individualism) involving fundamental values about human relationships.,8,8,Ubuntu is a social-philosophical ethos; promoting universal belief is cultural/values policy.,8,"Concerns cultural philosophy and values, fitting Domain 08's coverage of cultural affairs and heritage."
50,2023,ESL Semi Finals,16,THBT (This House Believes That) education systems in Africa should emphasise pan-African history and identities rather than national ones.,本院认为，非洲的教育体系应当强调泛非历史与身份认同，而非国家历史与身份。,1,1,"Pan‑African vs. national identities in curricula concerns identity formation and symbolic nation‑building, producing clear group‑level stakes.",1,Highly identity-salient question about collective belonging and nation-building with symbolic stakes for postcolonial identity formation.,9,9,Curricular emphasis on pan-African history/identities is a schools curriculum decision—education domain.,9,"Directly addresses curriculum content in schools, fitting Domain 09's ""School systems (public/private, curriculum, testing)."""
51,2023,ESL Finals,17,"When they are not part of that religion, THBT (This House Believes That) feminists should refrain from critiquing widespread religious practices that have different rules based on gender (e.g. wearing of veils, separate prayer spaces, women on their period being forbidden from fasting, Iddah (waiting) period after divorce/death of a husband, etc.)",本院认为，当女权主义者并非该宗教的信徒时，应避免批评那些基于性别差异而制定的普遍宗教实践（例如：佩戴面纱、分开祈祷、月经期女性被禁止斋戒、离婚/丧夫后的“尔待”（Iddah）期等）。,1,1,"Feminist critique vs. religious autonomy/free exercise is a direct clash of core values and identities, not solvable by evidence alone.",1,"Classic conflict between religious freedom and gender equality, involving competing moral intuitions about cultural autonomy vs. universal rights.",8,8,Whether out-group feminists should critique gendered religious practices concerns religious discourse and cultural norms.,8,"Concerns religious affairs and cultural critique norms, fitting Domain 08's coverage of ""Religious freedom and state-religion relations."""
